Year,Month,Day,Period,Value
2024,1,1,1,0
2024,1,1,2,0
2024,1,1,3,0
2024,1,1,4,0
2024,1,1,5,0
2024,1,1,6,0
2024,1,1,7,0
2024,1,1,8,39
2024,1,1,9,144
2024,1,1,10,255
2024,1,1,11,276
2024,1,1,12,273
2024,1,1,13,258
2024,1,1,14,243
2024,1,1,15,189
2024,1,1,16,114
2024,1,1,17,21
2024,1,1,18,0
2024,1,1,19,0
2024,1,1,20,0
2024,1,1,21,0
2024,1,1,22,0
2024,1,1,23,0
2024,1,1,24,0
2024,1,2,1,0
2024,1,2,2,0
2024,1,2,3,0
2024,1,2,4,0
2024,1,2,5,0
2024,1,2,6,0
2024,1,2,7,0
2024,1,2,8,39
2024,1,2,9,129
2024,1,2,10,177
2024,1,2,11,201
2024,1,2,12,219
2024,1,2,13,228
2024,1,2,14,216
2024,1,2,15,186
2024,1,2,16,102
2024,1,2,17,18
2024,1,2,18,0
2024,1,2,19,0
2024,1,2,20,0
2024,1,2,21,0
2024,1,2,22,0
2024,1,2,23,0
2024,1,2,24,0
2024,1,3,1,0
2024,1,3,2,0
2024,1,3,3,0
2024,1,3,4,0
2024,1,3,5,0
2024,1,3,6,0
2024,1,3,7,0
2024,1,3,8,21
2024,1,3,9,126
2024,1,3,10,246
2024,1,3,11,225
2024,1,3,12,255
2024,1,3,13,255
2024,1,3,14,258
2024,1,3,15,240
2024,1,3,16,141
2024,1,3,17,30
2024,1,3,18,0
2024,1,3,19,0
2024,1,3,20,0
2024,1,3,21,0
2024,1,3,22,0
2024,1,3,23,0
2024,1,3,24,0
2024,1,4,1,0
2024,1,4,2,0
2024,1,4,3,0
2024,1,4,4,0
2024,1,4,5,0
2024,1,4,6,0
2024,1,4,7,0
2024,1,4,8,33
2024,1,4,9,135
2024,1,4,10,252
2024,1,4,11,255
2024,1,4,12,270
2024,1,4,13,264
2024,1,4,14,258
2024,1,4,15,240
2024,1,4,16,165
2024,1,4,17,33
2024,1,4,18,0
2024,1,4,19,0
2024,1,4,20,0
2024,1,4,21,0
2024,1,4,22,0
2024,1,4,23,0
2024,1,4,24,0
2024,1,5,1,0
2024,1,5,2,0
2024,1,5,3,0
2024,1,5,4,0
2024,1,5,5,0
2024,1,5,6,0
2024,1,5,7,0
2024,1,5,8,33
2024,1,5,9,111
2024,1,5,10,147
2024,1,5,11,219
2024,1,5,12,240
2024,1,5,13,237
2024,1,5,14,222
2024,1,5,15,243
2024,1,5,16,168
2024,1,5,17,36
2024,1,5,18,0
2024,1,5,19,0
2024,1,5,20,0
2024,1,5,21,0
2024,1,5,22,0
2024,1,5,23,0
2024,1,5,24,0
2024,1,6,1,0
2024,1,6,2,0
2024,1,6,3,0
2024,1,6,4,0
2024,1,6,5,0
2024,1,6,6,0
2024,1,6,7,0
2024,1,6,8,36
2024,1,6,9,120
2024,1,6,10,183
2024,1,6,11,219
2024,1,6,12,201
2024,1,6,13,201
2024,1,6,14,177
2024,1,6,15,159
2024,1,6,16,93
2024,1,6,17,21
2024,1,6,18,0
2024,1,6,19,0
2024,1,6,20,0
2024,1,6,21,0
2024,1,6,22,0
2024,1,6,23,0
2024,1,6,24,0
2024,1,7,1,0
2024,1,7,2,0
2024,1,7,3,0
2024,1,7,4,0
2024,1,7,5,0
2024,1,7,6,0
2024,1,7,7,0
2024,1,7,8,36
2024,1,7,9,159
2024,1,7,10,261
2024,1,7,11,288
2024,1,7,12,285
2024,1,7,13,282
2024,1,7,14,240
2024,1,7,15,159
2024,1,7,16,150
2024,1,7,17,30
2024,1,7,18,0
2024,1,7,19,0
2024,1,7,20,0
2024,1,7,21,0
2024,1,7,22,0
2024,1,7,23,0
2024,1,7,24,0
2024,1,8,1,0
2024,1,8,2,0
2024,1,8,3,0
2024,1,8,4,0
2024,1,8,5,0
2024,1,8,6,0
2024,1,8,7,0
2024,1,8,8,39
2024,1,8,9,117
2024,1,8,10,264
2024,1,8,11,288
2024,1,8,12,276
2024,1,8,13,270
2024,1,8,14,255
2024,1,8,15,198
2024,1,8,16,123
2024,1,8,17,33
2024,1,8,18,0
2024,1,8,19,0
2024,1,8,20,0
2024,1,8,21,0
2024,1,8,22,0
2024,1,8,23,0
2024,1,8,24,0
2024,1,9,1,0
2024,1,9,2,0
2024,1,9,3,0
2024,1,9,4,0
2024,1,9,5,0
2024,1,9,6,0
2024,1,9,7,0
2024,1,9,8,9
2024,1,9,9,78
2024,1,9,10,222
2024,1,9,11,285
2024,1,9,12,264
2024,1,9,13,249
2024,1,9,14,240
2024,1,9,15,195
2024,1,9,16,135
2024,1,9,17,27
2024,1,9,18,0
2024,1,9,19,0
2024,1,9,20,0
2024,1,9,21,0
2024,1,9,22,0
2024,1,9,23,0
2024,1,9,24,0
2024,1,10,1,0
2024,1,10,2,0
2024,1,10,3,0
2024,1,10,4,0
2024,1,10,5,0
