Year,Month,Day,Period,Value
2024,1,1,1,407
2024,1,1,2,316
2024,1,1,3,264
2024,1,1,4,293
2024,1,1,5,367
2024,1,1,6,377
2024,1,1,7,303
2024,1,1,8,257
2024,1,1,9,181
2024,1,1,10,61
2024,1,1,11,49
2024,1,1,12,133
2024,1,1,13,149
2024,1,1,14,114
2024,1,1,15,108
2024,1,1,16,206
2024,1,1,17,281
2024,1,1,18,373
2024,1,1,19,444
2024,1,1,20,275
2024,1,1,21,209
2024,1,1,22,225
2024,1,1,23,350
2024,1,1,24,362
2024,1,2,1,413
2024,1,2,2,405
2024,1,2,3,374
2024,1,2,4,396
2024,1,2,5,444
2024,1,2,6,439
2024,1,2,7,446
2024,1,2,8,440
2024,1,2,9,445
2024,1,2,10,444
2024,1,2,11,441
2024,1,2,12,444
2024,1,2,13,403
2024,1,2,14,398
2024,1,2,15,444
2024,1,2,16,444
2024,1,2,17,445
2024,1,2,18,441
2024,1,2,19,445
2024,1,2,20,445
2024,1,2,21,444
2024,1,2,22,444
2024,1,2,23,272
2024,1,2,24,279
2024,1,3,1,297
2024,1,3,2,407
2024,1,3,3,386
2024,1,3,4,444
2024,1,3,5,443
2024,1,3,6,424
2024,1,3,7,245
2024,1,3,8,41
2024,1,3,9,37
2024,1,3,10,45
2024,1,3,11,32
2024,1,3,12,12
2024,1,3,13,13
2024,1,3,14,7
2024,1,3,15,1
2024,1,3,16,2
2024,1,3,17,2
2024,1,3,18,0
2024,1,3,19,0
2024,1,3,20,0
2024,1,3,21,0
2024,1,3,22,0
2024,1,3,23,2
2024,1,3,24,1
2024,1,4,1,0
2024,1,4,2,1
2024,1,4,3,1
2024,1,4,4,6
2024,1,4,5,0
2024,1,4,6,0
2024,1,4,7,2
2024,1,4,8,9
2024,1,4,9,5
2024,1,4,10,5
2024,1,4,11,16
2024,1,4,12,42
2024,1,4,13,51
2024,1,4,14,48
2024,1,4,15,65
2024,1,4,16,65
2024,1,4,17,18
2024,1,4,18,74
2024,1,4,19,62
2024,1,4,20,62
2024,1,4,21,35
2024,1,4,22,38
2024,1,4,23,109
2024,1,4,24,237
2024,1,5,1,280
2024,1,5,2,308
2024,1,5,3,322
2024,1,5,4,219
2024,1,5,5,142
2024,1,5,6,74
2024,1,5,7,60
2024,1,5,8,129
2024,1,5,9,103
2024,1,5,10,44
2024,1,5,11,25
2024,1,5,12,32
2024,1,5,13,62
2024,1,5,14,95
2024,1,5,15,111
2024,1,5,16,100
2024,1,5,17,64
2024,1,5,18,127
2024,1,5,19,183
2024,1,5,20,236
2024,1,5,21,190
2024,1,5,22,116
2024,1,5,23,133
2024,1,5,24,207
2024,1,6,1,246
2024,1,6,2,238
2024,1,6,3,249
2024,1,6,4,271
2024,1,6,5,247
2024,1,6,6,206
2024,1,6,7,170
2024,1,6,8,117
2024,1,6,9,131
2024,1,6,10,132
2024,1,6,11,86
2024,1,6,12,82
2024,1,6,13,100
2024,1,6,14,98
2024,1,6,15,87
2024,1,6,16,75
2024,1,6,17,63
2024,1,6,18,63
2024,1,6,19,45
2024,1,6,20,28
2024,1,6,21,24
2024,1,6,22,15
2024,1,6,23,23
2024,1,6,24,26
2024,1,7,1,12
2024,1,7,2,9
2024,1,7,3,7
2024,1,7,4,5
2024,1,7,5,2
2024,1,7,6,0
2024,1,7,7,0
2024,1,7,8,0
2024,1,7,9,0
2024,1,7,10,0
2024,1,7,11,0
2024,1,7,12,0
2024,1,7,13,0
2024,1,7,14,0
2024,1,7,15,1
2024,1,7,16,122
2024,1,7,17,413
2024,1,7,18,447
2024,1,7,19,443
2024,1,7,20,445
2024,1,7,21,442
2024,1,7,22,422
2024,1,7,23,390
2024,1,7,24,258
2024,1,8,1,438
2024,1,8,2,445
2024,1,8,3,444
2024,1,8,4,443
2024,1,8,5,446
2024,1,8,6,445
2024,1,8,7,447
2024,1,8,8,445
2024,1,8,9,444
2024,1,8,10,444
2024,1,8,11,440
2024,1,8,12,444
2024,1,8,13,380
2024,1,8,14,159
2024,1,8,15,35
2024,1,8,16,36
2024,1,8,17,28
2024,1,8,18,14
2024,1,8,19,14
2024,1,8,20,30
2024,1,8,21,5
2024,1,8,22,0
2024,1,8,23,0
2024,1,8,24,0
2024,1,9,1,1
2024,1,9,2,0
2024,1,9,3,0
2024,1,9,4,1
2024,1,9,5,3
2024,1,9,6,37
2024,1,9,7,5
2024,1,9,8,1
2024,1,9,9,2
2024,1,9,10,0
2024,1,9,11,1
2024,1,9,12,5
2024,1,9,13,13
2024,1,9,14,15
2024,1,9,15,20
2024,1,9,16,12
2024,1,9,17,8
2024,1,9,18,8
2024,1,9,19,11
2024,1,9,20,10
2024,1,9,21,2
2024,1,9,22,0
2024,1,9,23,0
2024,1,9,24,0
2024,1,10,1,0
2024,1,10,2,0
2024,1,10,3,0
2024,1,10,4,0
2024,1,10,5,0
2024,1,10,6,0
2024,1,10,7,0
2024,1,10,8,0
2024,1,10,9,0
2024,1,10,10,0
2024,1,10,11,0
2024,1,10,12,0
2024,1,10,13,0
2024,1,10,14,1
2024,1,10,15,5
2024,1,10,16,9
2024,1,10,17,18
2024,1,10,18,18
2024,1,10,19,10
2024,1,10,20,0
2024,1,10,21,1
2024,1,10,22,1
2024,1,10,23,68
2024,1,10,24,136
2024,1,11,1,78
2024,1,11,2,25
2024,1,11,3,59
2024,1,11,4,112
2024,1,11,5,280
2024,1,11,6,354
2024,1,11,7,364
2024,1,11,8,360
2024,1,11,9,377
2024,1,11,10,377
2024,1,11,11,386
2024,1,11,12,380
