Year,Month,Day,Period,node_a,node_b,node_c,node_d,node_e
2024,1,1,1,0,123.8,122.6,167.5,0
2024,1,1,2,0,122.6,121.4,166,0
2024,1,1,3,0,118.2,117,160,0
2024,1,1,4,0,117,115.9,158.5,0
2024,1,1,5,0,118.2,117,160,0
2024,1,1,6,0,122.6,121.4,166,0
2024,1,1,7,0,124.9,123.6,169,0
2024,1,1,8,0,123.8,122.6,167.5,0
2024,1,1,9,0,127.1,125.8,172.1,0
2024,1,1,10,0,130.5,129.2,176.6,0
2024,1,1,11,0,130.5,129.2,176.6,0
2024,1,1,12,0,133.8,132.5,181.1,0
2024,1,1,13,0,132.7,131.4,179.6,0
2024,1,1,14,0,128.2,127,173.6,0
2024,1,1,15,0,130.5,129.2,176.6,0
2024,1,1,16,0,130.5,129.2,176.6,0
2024,1,1,17,0,132.7,131.4,179.6,0
2024,1,1,18,0,158.4,156.8,214.4,0
2024,1,1,19,0,157.3,155.7,212.9,0
2024,1,1,20,0,152.8,151.3,206.8,0
2024,1,1,21,0,150.6,149,203.8,0
2024,1,1,22,0,147.3,145.8,199.3,0
2024,1,1,23,0,133.8,132.5,181.1,0
2024,1,1,24,0,121.5,120.3,164.6,0
2024,1,2,1,0,115.9,114.8,157,0
2024,1,2,2,0,111.5,110.4,151,0
2024,1,2,3,0,111.5,110.4,151,0
2024,1,2,4,0,111.5,110.4,151,0
2024,1,2,5,0,113.7,112.6,153.9,0
2024,1,2,6,0,121.5,120.3,164.6,0
2024,1,2,7,0,124.9,123.6,169,0
2024,1,2,8,0,129.4,128.1,175.1,0
2024,1,2,9,0,138.3,136.9,187.2,0
2024,1,2,10,0,141.7,140.2,191.8,0
2024,1,2,11,0,147.3,145.8,199.3,0
2024,1,2,12,0,148.3,146.9,200.8,0
2024,1,2,13,0,149.4,147.9,202.3,0
2024,1,2,14,0,147.3,145.8,199.3,0
2024,1,2,15,0,148.3,146.9,200.8,0
2024,1,2,16,0,147.3,145.8,199.3,0
2024,1,2,17,0,151.7,150.2,205.4,0
2024,1,2,18,0,169.5,167.8,229.5,0
2024,1,2,19,0,171.8,170.1,232.6,0
2024,1,2,20,0,170.6,169,231,0
2024,1,2,21,0,162.9,161.2,220.4,0
2024,1,2,22,0,152.8,151.3,206.8,0
2024,1,2,23,0,140.6,139.1,190.2,0
2024,1,2,24,0,124.9,123.6,169,0
2024,1,3,1,0,118.2,117,160,0
2024,1,3,2,0,114.8,113.7,155.4,0
2024,1,3,3,0,111.5,110.4,151,0
2024,1,3,4,0,112.6,111.4,152.4,0
2024,1,3,5,0,117,115.9,158.5,0
2024,1,3,6,0,127.1,125.8,172.1,0
2024,1,3,7,0,143.9,142.5,194.7,0
2024,1,3,8,0,149.4,147.9,202.3,0
2024,1,3,9,0,152.8,151.3,206.8,0
2024,1,3,10,0,158.4,156.8,214.4,0
2024,1,3,11,0,157.3,155.7,212.9,0
2024,1,3,12,0,160.6,159,217.4,0
2024,1,3,13,0,160.6,159,217.4,0
2024,1,3,14,0,161.8,160.1,219,0
2024,1,3,15,0,164,162.3,222,0
2024,1,3,16,0,158.4,156.8,214.4,0
2024,1,3,17,0,161.8,160.1,219,0
2024,1,3,18,0,180.7,179,244.6,0
2024,1,3,19,0,179.6,177.8,243.1,0
2024,1,3,20,0,175.1,173.4,237,0
2024,1,3,21,0,169.5,167.8,229.5,0
2024,1,3,22,0,159.5,157.9,215.9,0
2024,1,3,23,0,143.9,142.5,194.7,0
2024,1,3,24,0,129.4,128.1,175.1,0
2024,1,4,1,0,122.6,121.4,166,0
2024,1,4,2,0,117,115.9,158.5,0
2024,1,4,3,0,117,115.9,158.5,0
2024,1,4,4,0,115.9,114.8,157,0
2024,1,4,5,0,120.4,119.3,163,0
2024,1,4,6,0,129.4,128.1,175.1,0
2024,1,4,7,0,148.3,146.9,200.8,0
2024,1,4,8,0,149.4,147.9,202.3,0
2024,1,4,9,0,153.9,152.4,208.4,0
2024,1,4,10,0,155,153.5,209.8,0
2024,1,4,11,0,158.4,156.8,214.4,0
2024,1,4,12,0,159.5,157.9,215.9,0
2024,1,4,13,0,160.6,159,217.4,0
2024,1,4,14,0,160.6,159,217.4,0
2024,1,4,15,0,161.8,160.1,219,0
2024,1,4,16,0,159.5,157.9,215.9,0
2024,1,4,17,0,159.5,157.9,215.9,0
2024,1,4,18,0,174,172.2,235.6,0
2024,1,4,19,0,175.1,173.4,237,0
2024,1,4,20,0,174,172.2,235.6,0
2024,1,4,21,0,167.3,165.7,226.5,0
2024,1,4,22,0,158.4,156.8,214.4,0
2024,1,4,23,0,141.7,140.2,191.8,0
2024,1,4,24,0,129.4,128.1,175.1,0
2024,1,5,1,0,121.5,120.3,164.6,0
2024,1,5,2,0,118.2,117,160,0
2024,1,5,3,0,117,115.9,158.5,0
2024,1,5,4,0,117,115.9,158.5,0
2024,1,5,5,0,119.3,118.2,161.5,0
2024,1,5,6,0,132.7,131.4,179.6,0
2024,1,5,7,0,146.2,144.6,197.8,0
2024,1,5,8,0,153.9,152.4,208.4,0
2024,1,5,9,0,157.3,155.7,212.9,0
2024,1,5,10,0,157.3,155.7,212.9,0
2024,1,5,11,0,161.8,160.1,219,0
2024,1,5,12,0,162.9,161.2,220.4,0
2024,1,5,13,0,161.8,160.1,219,0
2024,1,5,14,0,164,162.3,222,0
2024,1,5,15,0,159.5,157.9,215.9,0
2024,1,5,16,0,157.3,155.7,212.9,0
2024,1,5,17,0,160.6,159,217.4,0
2024,1,5,18,0,176.2,174.5,238.6,0
2024,1,5,19,0,178.5,176.7,241.6,0
2024,1,5,20,0,175.1,173.4,237,0
2024,1,5,21,0,168.4,166.8,228,0
2024,1,5,22,0,155,153.5,209.8,0
2024,1,5,23,0,141.7,140.2,191.8,0
2024,1,5,24,0,130.5,129.2,176.6,0
2024,1,6,1,0,120.4,119.3,163,0
2024,1,6,2,0,115.9,114.8,157,0
2024,1,6,3,0,115.9,114.8,157,0
2024,1,6,4,0,114.8,113.7,155.4,0
2024,1,6,5,0,119.3,118.2,161.5,0
2024,1,6,6,0,130.5,129.2,176.6,0
