Date,HPC System,Job ID,Partition,Benchmark Code,kpoints,math library,MPI,cpu-bind,Nodes,Cores,Nodelist,Energy,Electronic Steps,Runtime,KPAR,NPAR,node_fill
Wed Jan 19 10:06:33 MST 2022,Eagle,8181586,short,1,4x4x2,mkl,intelmpi,cores,16,576,"r1i4n[15-22],r1i5n[27-30,33-35],r1i6n0",error,did not converge,error,4,D,full
Wed Jan 19 10:10:02 MST 2022,Eagle,8181585,short,1,10x10x5,mkl,intelmpi,cores,16,576,"r1i3n35,r1i4n[0-14]",error,did not converge,error,4,D,full
Wed Jan 19 10:12:45 MST 2022,Eagle,8181671,short,1,10x10x5,mkl,intelmpi,cores,16,576,"r1i3n[16-30],r1i6n9",-6.03E+01,15,0:10:06,1,4,full
Wed Jan 19 10:15:38 MST 2022,Eagle,8181761,short,1,4x4x2,mkl,intelmpi,cores,16,576,r5i3n[13-28],-6.03E+01,14,0:01:36,1,sqrt,full
Wed Jan 19 10:20:38 MST 2022,Eagle,8181760,short,1,10x10x5,mkl,intelmpi,cores,16,576,"r5i1n[16-23,25-27],r5i2n[10,18,29],r5i3n[11-12]",-6.03E+01,13,0:06:36,1,sqrt,full
Fri Jan 21 00:56:11 MST 2022,Eagle,8183108,short,1,10x10x5,mkl,intelmpi_tim,cores,16,576,"r5i0n9,r5i1n[3-5,21,24,26,31,33],r5i2n[4,6,9,11,15-17]",-6.03E+01,13,0:01:52,9,sqrt,full
Fri Jan 21 00:59:23 MST 2022,Eagle,8183109,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r5i0n9,r5i1n[3-5,21,24,26,31,33],r5i2n[4,6,9,11,15-17]",-6.03E+01,14,0:00:42,9,sqrt,full
Thu Jan 20 00:33:59 MST 2022,Eagle,8182926,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r1i0n[1-3,31-32,34-35],r1i1n[0-3,8],r1i3n[9-12]",-6.03E+01,14,0:00:39,4,sqrt,full
Thu Jan 20 21:26:22 MST 2022,Eagle,8183013,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r5i1n[22-23,31],r5i2n[0,11,15-17,21,23,25,27,31-34]",-6.03E+01,15,0:00:42,4,4,full
Tue Dec 14 04:44:10 MST 2021,Eagle,8011271,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r6i0n[5-6,8,18,21,27,31-32],r6i1n[1,5,9,14,17-20]",-6.03E+01,15,0:00:50,9,4,full
Tue Dec 14 04:45:06 MST 2021,Eagle,8011270,short,1,10x10x5,mkl,intelmpi_tim,cores,16,576,"r3i5n[17,19,21-22,25,27,29,31-32,35],r3i6n[2,6,16,19,21,26]",-6.03E+01,15,0:01:46,9,4,full
Tue Dec 14 15:15:14 MST 2021,Eagle,8024087,short,2,1x1x1,mkl,intelmpi_tim,cores,16,576,"r3i0n[2,4-6,16-17,19,22,25,28-29,31],r3i1n[2,7,13,19]",-1.27E+03,35,0:38:23,1,D,full
Wed Jan 19 10:04:55 MST 2022,Eagle,8181658,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r5i4n[0-2,4],r5i5n[3-8,10],r5i6n[8-12]",-6.03E+01,15,0:02:23,1,4,full
Wed Jan 19 10:06:25 MST 2022,Eagle,8181572,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r1i0n[2-5,7-10,18,20,30,35],r1i3n[31-34]",error,did not converge,error,4,D,full
Wed Jan 19 10:12:50 MST 2022,Eagle,8181657,short,1,10x10x5,mkl,intelmpi_tim,cores,16,576,"r5i2n[10,18,29],r5i3n[19-26,31-35]",-6.03E+01,15,0:10:18,1,4,full
Wed Jan 19 10:15:24 MST 2022,Eagle,8181747,short,1,4x4x2,mkl,intelmpi_tim,cores,16,576,"r1i6n[24-27,29-32],r1i7n[11-18]",-6.03E+01,14,0:01:35,1,sqrt,full
Wed Jan 19 10:20:18 MST 2022,Eagle,8181746,short,1,10x10x5,mkl,intelmpi_tim,cores,16,576,"r1i3n[16-30],r1i6n9",-6.03E+01,13,0:06:29,1,sqrt,full
Wed Jan 19 10:35:45 MST 2022,Eagle,8181571,short,1,10x10x5,mkl,intelmpi_tim,cores,16,576,"r8i0n[12-19],r8i1n[4-7,22,31,34-35]",error,did not converge,error,4,D,full
Fri Mar 18 11:41:53 MDT 2022,eagle,8759955,short,2,1x1x1,openmpi,openmpi,cores,16,576,"r5i7n[4-8,10-13,15-17,19,21-22,26]",-1.27E+03,35,1:08:26,1,D,full
Thu Mar 17 13:47:13 MDT 2022,Eagle,8739159,short,1,10x10x5,openmpi,openmpi,cores,16,576,"r5i4n[11,25,28],r5i5n[1,4-6,9,16-18,21],r5i6n[10,33],r5i7n[17,22]",-6.03E+01,15,0:03:01,9,4,full
Thu Mar 17 14:09:50 MDT 2022,Eagle,8739160,short,1,4x4x2,openmpi,openmpi,cores,16,576,"r5i0n[0,6,16,19],r5i1n30,r5i2n33,r5i4n8,r5i5n[32-34],r5i6n21,r5i7n[8,12,17,26,33]",-6.03E+01,15,0:02:19,9,4,full
Thu Jun 30 13:52:28 MDT 2022,Swift,635505,parallel,2,1x1x1,mkl,intel_impi,cores,8,512,"c1-[32-34,36-40]",-1.27E+03,35,0:34:13,1,D,full
Sat Mar  5 01:42:07 MST 2022,Swift,295442,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[42-47,56-57]",-6.03E+01,14,0:01:57,4,sqrt,full
Sat Mar  5 01:51:33 MST 2022,Swift,295443,parallel,1,10x10x5,mkl,intelmpi,cores,8,512,"c1-[42-47,56-57]",-6.03E+01,14,0:09:26,4,sqrt,full
Sat Mar  5 03:31:31 MST 2022,Swift,295514,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[32-34,36,38-41]",-6.03E+01,15,0:04:29,9,sqrt,full
Thu Mar  3 13:45:46 MST 2022,Swift,295226,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,14,0:02:03,4,D,full
Thu Mar  3 13:55:15 MST 2022,Swift,295227,parallel,1,10x10x5,mkl,intelmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,14,0:09:29,4,D,full
Thu Mar  3 15:25:45 MST 2022,Swift,295298,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,15,0:00:55,4,4,full
Thu Mar  3 15:29:53 MST 2022,Swift,295299,parallel,1,10x10x5,mkl,intelmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,15,0:04:08,4,4,full
Thu Mar  3 23:04:06 MST 2022,Swift,295370,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,14,2:16:02,1,sqrt,full
Wed Mar  2 09:52:51 MST 2022,Swift,295082,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[40-41,43-44,46-47,61,64]",-6.03E+01,15,0:05:41,1,4,full
Wed Mar  2 10:21:08 MST 2022,Swift,295083,parallel,1,10x10x5,mkl,intelmpi,cores,8,512,"c1-[32-33,40-41,43-44,46-47]",-6.03E+01,15,0:28:49,1,4,full
Wed Mar  2 19:04:45 MST 2022,Swift,295154,parallel,1,4x4x2,mkl,intelmpi,cores,8,512,"c1-[32-33,40-41,47,56,58-59]",-6.03E+01,14,2:16:27,1,D,full
2021-11-11T12:51:38,Swift,16593,test,2,1x1x1,mkl,intelmpi_clara,cores,8,512,"c1-[32-36,43-45]",-1271.6723,35,0:35:51,1,D,full
Sat Dec  4 09:18:41 MST 2021,Swift,38381,parallel,2,1x1x1,mkl,intelmpi_clara,cores,8,512,"c1-[33,38-39,42,44,57,63,67]",-1.27E+03,36,0:38:07,1,D,full
2021-11-11T15:45:30,Swift,16609,test,2,1x1x1,opnmpi,openmpi,cores,8,512,"c1-[44-45,56-57,59,62-64]",-1271.6723,35,1:33:04,1,D,full
Sat Mar  5 01:17:15 MST 2022,Swift,295430,parallel,1,4x4x2,openmpi,openmpi,cores,8,512,"c1-[42-47,56-57]",-6.03E+01,14,0:04:36,4,sqrt,full
Sat Mar  5 01:40:10 MST 2022,Swift,295431,parallel,1,10x10x5,openmpi,openmpi,cores,8,512,"c1-[42-47,56-57]",-6.03E+01,14,0:22:55,4,sqrt,full
Sat Mar  5 03:13:41 MST 2022,Swift,295502,parallel,1,4x4x2,openmpi,openmpi,cores,8,512,"c1-[42-47,56-57]",-6.03E+01,15,0:04:32,9,sqrt,full
Thu Mar  3 13:20:46 MST 2022,Swift,295214,parallel,1,4x4x2,openmpi,openmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,14,0:04:40,4,D,full
Thu Mar  3 13:43:43 MST 2022,Swift,295215,parallel,1,10x10x5,openmpi,openmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,14,0:22:57,4,D,full
Thu Mar  3 15:15:39 MST 2022,Swift,295286,parallel,1,4x4x2,openmpi,openmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,15,0:02:03,4,4,full
Thu Mar  3 15:24:50 MST 2022,Swift,295287,parallel,1,10x10x5,openmpi,openmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,15,0:09:11,4,4,full
Thu Mar  3 20:48:03 MST 2022,Swift,295358,parallel,1,4x4x2,openmpi,openmpi,cores,8,512,"c1-[32-34,40-41,45,47,56]",-6.03E+01,14,4:46:21,1,sqrt,full
Wed Mar  2 16:33:55 MST 2022,Swift,295142,parallel,1,4x4x2,openmpi,openmpi,cores,8,512,"c1-[38,43-44,46-47,56,58,61]",-6.03E+01,14,4:46:08,1,D,full
2022-06-10T12:48:32,Swift,613796,parallel,2,1x1x1,mkl,intel_impi,cores,4,512,"['c4-[19', '21', '42', '46]']",-1.27E+03,35,0:58:22,1,1,virtual
2022-06-10T12:55:42,Swift,613800,parallel,2,1x1x1,openmpi,openmpi,cores,4,512,"['c11-[14-15', '44', '50]']",-1.27E+03,35,2:47:23,1,1,virtual
Sun Dec 12 06:14:23 MST 2021,swift,68492,test,1,4x4x2,mkl,intelmpi,cores,8,504,"c1-[33-34,36,38,45-47,62]",error,did not converge,error,9,4,full
2021-11-11T15:47:39,Swift,16624,test,1,10x10x5,mkl,intelmpi_clara,cores,8,504,"c1-[44-45,56-57,59,62-64]",-60.279463,15,0:02:09,9,4,full
Sat Dec  4 08:34:22 MST 2021,Swift,38366,parallel,1,4x4x2,mkl,intelmpi_clara,cores,8,504,"c1-[33,38-39,42,44,57,63,67]",-6.03E+01,15,0:00:55,9,4,full
2021-11-11T15:50:48,Swift,16629,test,1,10x10x5,opnmpi,openmpi,cores,8,504,"c1-[65-67,71,73-76]",-60.279463,15,0:03:15,9,4,full
Sun Dec 12 06:11:41 MST 2021,swift,68489,test,1,4x4x2,openmpi,openmpi,cores,8,504,"c1-[33-34,36,38,45-47,62]",-6.03E+01,15,0:01:26,9,4,full
Thu Jun 30 14:13:43 MDT 2022,Swift,635504,parallel,2,1x1x1,mkl,intel_impi,cores,4,356,c1-[41-44],-1.27E+03,35,0:55:28,1,D,full
Tue Feb 22 18:26:37 MST 2022,Eagle,8387530,short,2,1x1x1,mkl,intelmpi,cores,16,288,"r9i0n[4,12-17,19,32],r9i2n18,r9i3n[8,11,14,19,24,29]",-1.27E+03,35,0:19:44,1,D,half
Wed Feb 23 09:08:24 MST 2022,Eagle,8388970,short,2,1x1x1,mkl,intelmpi_tim,cores,16,288,"r3i0n[4-7],r3i3n[6,17,26-27],r3i4n[17-20,22-25]",-1.27E+03,35,0:16:11,1,D,half
Mon Nov 29 19:20:26 MST 2021,Eagle,7942617,short,2,1x1x1,mkl,intelmpi,cores,8,288,"r9i0n[1,27,32],r9i1n[1,12-14],r9i2n18",-1.27E+03,35,0:22:09,1,D,full
Mon Nov 29 19:59:45 MST 2021,Eagle,7942639,short,1,4x4x2,mkl,intelmpi,cores,8,288,"r6i6n[2,5,11-12,18,32],r6i7n[0,17]",-6.03E+01,15,0:00:38,9,4,full
Mon Nov 29 20:00:50 MST 2021,Eagle,7942638,short,1,10x10x5,mkl,intelmpi,cores,8,288,"r6i0n25,r6i1n6,r6i2n[16,22],r6i4n29,r6i5n[3,8,11]",-6.03E+01,15,0:01:44,9,4,full
Thu Dec  2 09:47:30 MST 2021,Eagle,7955673,short,1,10x10x5,mkl,intelmpi,cores,8,288,"r9i1n[14,16,20,24,28-30],r9i2n13",-6.03E+01,15,0:01:47,9,4,full
Thu Jan 20 04:13:58 MST 2022,Eagle,8182937,short,1,10x10x5,mkl,intelmpi,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,07]",error,did not converge,error,4,sqrt,full
Thu Jan 20 04:17:05 MST 2022,Eagle,8182938,short,1,4x4x2,mkl,intelmpi,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,07]",-6.03E+01,14,0:01:00,4,sqrt,full
Thu Jan 20 20:08:39 MST 2022,Eagle,8183025,short,1,4x4x2,mkl,intelmpi,cores,8,288,"r104u[23,25,31],r105u[01,03,09,11,13]",-6.03E+01,15,0:00:44,4,4,full
Thu Jan 20 23:45:25 MST 2022,Eagle,8183120,short,1,10x10x5,mkl,intelmpi,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,09]",-6.03E+01,13,0:02:00,9,sqrt,full
Thu Jan 20 23:48:34 MST 2022,Eagle,8183121,short,1,4x4x2,mkl,intelmpi,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,09]",-6.03E+01,14,0:00:43,9,sqrt,full
Tue Nov 30 09:47:14 MST 2021,eagle,7945248,short,small,4x4x4,mkl,intelmpi,cores,8,288,"r6i0n[17,20-22,24-25,32],r6i1n2",-3.93E+01,16,0:00:56,1,D,full
Tue Nov 30 09:48:30 MST 2021,eagle,7945247,short,small,8x8x8,mkl,intelmpi,cores,8,288,"r4i0n16,r4i1n12,r4i2n[33-35],r4i3n[0-1,10]",-3.94E+01,16,0:02:12,1,D,full
Wed Jan 19 10:00:13 MST 2022,Eagle,8181584,short,1,4x4x2,mkl,intelmpi,cores,8,288,"r1i6n[33-35],r1i7n[0-4]",-6.03E+01,14,0:00:59,4,D,full
Wed Jan 19 10:04:23 MST 2022,Eagle,8181670,short,1,4x4x2,mkl,intelmpi,cores,8,288,r1i7n[23-30],-6.03E+01,16,0:01:44,1,4,full
Wed Jan 19 10:10:47 MST 2022,Eagle,8181669,short,1,10x10x5,mkl,intelmpi,cores,8,288,"r1i7n[11-13,18-22]",-6.03E+01,17,0:08:08,1,4,full
Wed Jan 19 10:13:37 MST 2022,Eagle,8181583,short,1,10x10x5,mkl,intelmpi,cores,8,288,"r1i6n[24-27,29-32]",error,did not converge,error,4,D,full
Wed Jan 19 10:29:55 MST 2022,Eagle,8181759,short,1,4x4x2,mkl,intelmpi,cores,8,288,"r5i3n[29-35],r5i4n0",-6.03E+01,14,0:15:53,1,sqrt,full
Thu Jan  6 10:39:48 MST 2022,Eagle,8144854,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r6i2n[11-12,16],r6i4n[12,26],r6i5n[0,8],r6i7n27",-6.03E+01,14,0:15:52,1,D,full
Thu Jan 20 03:49:14 MST 2022,Eagle,8182923,short,1,10x10x5,mkl,intelmpi_tim,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,07]",error,did not converge,error,4,sqrt,full
Thu Jan 20 03:51:41 MST 2022,Eagle,8182924,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,07]",-6.03E+01,14,0:00:56,4,sqrt,full
Thu Jan 20 06:53:39 MST 2022,Eagle,8183011,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,07]",-6.03E+01,15,0:00:44,4,4,full
Thu Jan 20 23:36:17 MST 2022,Eagle,8183106,short,1,10x10x5,mkl,intelmpi_tim,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,09]",-6.03E+01,13,0:02:02,9,sqrt,full
Thu Jan 20 23:39:26 MST 2022,Eagle,8183107,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r104u[23,25,29,31],r105u[01,03,05,09]",-6.03E+01,14,0:00:44,9,sqrt,full
Tue Dec 14 04:44:35 MST 2021,Eagle,8011269,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r7i7n[20-21,25-29,33]",-6.03E+01,15,0:00:46,9,4,full
Tue Dec 14 04:45:41 MST 2021,Eagle,8011268,short,1,10x10x5,mkl,intelmpi_tim,cores,8,288,"r7i4n25,r7i6n[18,28,33-35],r7i7n[8,16]",-6.03E+01,15,0:01:52,9,4,full
Tue Dec 14 14:59:38 MST 2021,Eagle,8024091,short,2,1x1x1,mkl,intelmpi_tim,cores,8,288,"r3i7n[10,16,20,24,28,30-32]",-1.27E+03,35,0:22:47,1,D,full
Wed Jan 19 10:00:17 MST 2022,Eagle,8181570,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r1i6n[9-10,16,19-23]",-6.03E+01,14,0:01:04,4,D,full
Wed Jan 19 10:04:50 MST 2022,Eagle,8181656,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r1i1n[1,8],r1i2n[15,30-34]",-6.03E+01,25,0:02:18,1,4,full
Wed Jan 19 10:11:16 MST 2022,Eagle,8181655,short,1,10x10x5,mkl,intelmpi_tim,cores,8,288,"r5i6n[13-15,20-24]",-6.03E+01,17,0:08:44,1,4,full
Wed Jan 19 10:13:51 MST 2022,Eagle,8181569,short,1,10x10x5,mkl,intelmpi_tim,cores,8,288,r1i6n[1-8],error,did not converge,error,4,D,full
Wed Jan 19 10:29:52 MST 2022,Eagle,8181745,short,1,4x4x2,mkl,intelmpi_tim,cores,8,288,"r5i0n[0-5,10-11]",-6.03E+01,14,0:16:03,1,sqrt,full
Thu Mar 17 13:11:47 MDT 2022,Eagle,8739157,short,1,10x10x5,openmpi,openmpi,cores,8,288,"r6i0n18,r6i2n34,r6i3n18,r6i5n[6,18,26,30],r6i6n2",-6.03E+01,15,0:03:12,9,4,full
Thu Mar 17 13:39:47 MDT 2022,Eagle,8739158,short,1,4x4x2,openmpi,openmpi,cores,8,288,"r4i0n[5,9],r4i5n[8,21,33],r4i6n[0,11,24]",-6.03E+01,15,0:01:01,9,4,full
Thu Mar 17 15:07:04 MDT 2022,Eagle,8739184,short,2,1x1x1,openmpi,openmpi,cores,8,288,"r2i0n5,r2i1n1,r2i2n18,r2i4n6,r2i7n[6,20,26,33]",-1.27E+03,35,0:59:32,1,D,full
Fri Dec  3 22:30:28 UTC 2021,Vermillion,50004334,std,small,4x4x4,mkl,intelmpi,cores,16,256,vs-std-[0017-0032],-3.93E+01,17,0:01:52,1,D,full
Fri Dec  3 22:30:28 UTC 2021,Vermillion,50004334,std,small,4x4x4,mkl,intelmpi,cores,16,256,vs-std-[0017-0032],-3.93E+01,17,0:01:52,1,D,full
Fri Dec  3 22:33:22 UTC 2021,Vermillion,50004333,std,small,8x8x8,mkl,intelmpi,cores,16,256,vs-std-[0001-0016],-3.94E+01,16,0:04:46,1,D,full
Fri Dec  3 22:33:22 UTC 2021,Vermillion,50004333,std,small,8x8x8,mkl,intelmpi,cores,16,256,vs-std-[0001-0016],-3.94E+01,16,0:04:46,1,D,full
Fri Dec  3 22:35:07 UTC 2021,Vermillion,50004346,std,small,4x4x4,openmpi,openmpi,cores,16,256,vs-std-[0017-0032],-3.93E+01,16,0:04:36,1,D,full
Fri Dec  3 22:35:07 UTC 2021,Vermillion,50004346,std,small,4x4x4,openmpi,openmpi,cores,16,256,vs-std-[0017-0032],-3.93E+01,16,0:04:36,1,D,full
Wed Mar  9 21:59:27 MST 2022,Swift,301214,parallel,2,1x1x1,mkl,intelmpi,cores,8,256,"c1-[33,36,40,42,44-45,56,61]",error,did not converge,error,1,D,half
Wed Mar  9 21:02:06 MST 2022,Swift,301213,parallel,2,1x1x1,openmpi,openmpi,cores,8,256,"c1-[33,36,40,42,44-45,56,61]",-1.27E+03,35,1:02:31,1,D,half
Mon Nov 29 11:00:43 MST 2021,Swift,36056,debug,small,8x8x8,mkl,intelmpi,cores,4,256,c1-[28-31],-3.94E+01,16,0:02:41,1,D,full
2021-11-11T13:07:44,Swift,16508,debug,2,1x1x1,mkl,intelmpi_clara,cores,4,256,"c1-[28,30]",-1271.6723,44,0:55:00,1,D,full
Mon Nov 29 11:01:33 MST 2021,Swift,36057,debug,small,4x4x4,mkl,intelmpi_clara,cores,4,256,c1-[28-31],-3.93E+01,16,0:00:50,1,D,full
2021-11-11T21:23:14,Swift,16582,debug,2,1x1x1,opnmpi,openmpi,cores,4,256,c1-[28-31],-1271.6723,35,1:56:58,1,D,full
2022-06-10T10:53:41,Swift,613795,parallel,2,1x1x1,mkl,intel_impi,cores,2,256,"['c13-[11', '21]']",-1.27E+03,38,1:21:29,1,1,virtual
2022-06-10T11:34:30,Swift,613799,parallel,2,1x1x1,openmpi,openmpi,cores,2,256,"['c8-[41', '43]']",-1.27E+03,35,2:46:17,1,1,virtual
Fri Mar  4 23:32:15 MST 2022,Swift,295512,parallel,1,4x4x2,mkl,intelmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:00:48,9,sqrt,full
Fri Mar  4 23:35:12 MST 2022,Swift,295513,parallel,1,10x10x5,mkl,intelmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:02:44,9,sqrt,full
Sun Dec 12 06:00:11 MST 2021,swift,68491,test,1,4x4x2,mkl,intelmpi,cores,4,252,"c1-[33-34,38,47]",-6.03E+01,15,0:01:00,9,4,full
Thu Mar  3 12:00:30 MST 2022,Swift,295224,parallel,1,4x4x2,mkl,intelmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:01:15,4,D,full
Thu Mar  3 20:25:35 MST 2022,Swift,295368,parallel,1,4x4x2,mkl,intelmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:22:58,1,sqrt,full
Thu Mar  3 22:10:39 MST 2022,Swift,295369,parallel,1,10x10x5,mkl,intelmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,13,1:45:03,1,sqrt,full
Thu Nov 18 10:48:06 MST 2021,Swift,22745,debug,small,8x8x8,mkl,intelmpi,cores,4,252,c1-[28-31],-39.350776,16,0:02:47,1,D,full
Thu Nov 18 10:48:53 MST 2021,Swift,22746,debug,small,4x4x4,mkl,intelmpi,cores,4,252,c1-[28-31],-39.25197,16,0:00:47,1,D,full
Wed Mar  2 09:44:30 MST 2022,Swift,295080,parallel,1,4x4x2,mkl,intelmpi,cores,4,252,"c1-[61,64,66,71]",error,did not converge,error,1,4,full
Wed Mar  2 10:26:58 MST 2022,Swift,295081,parallel,1,10x10x5,mkl,intelmpi,cores,4,252,"c1-[72,75-76,79]",error,did not converge,error,1,4,full
Wed Mar  2 16:48:18 MST 2022,Swift,295152,parallel,1,4x4x2,mkl,intelmpi,cores,4,252,"c1-[32-33,40-41]",-6.03E+01,14,0:22:56,1,D,full
Wed Mar  2 18:18:21 MST 2022,Swift,295153,parallel,1,10x10x5,mkl,intelmpi,cores,4,252,"c1-[38,43-44,46]",-6.03E+01,13,1:44:26,1,D,full
2021-11-15T11:36:10,Swift,16856,debug,1,10x10x5,mkl,intelmpi_clara,cores,4,252,c1-[28-31],-60.279463,15,0:02:14,9,4,full
2021-11-11T11:24:35,Swift,16502,debug,1,10x10x5,opnmpi,openmpi,cores,4,252,c1-[28-31],-60.279463,15,0:03:36,9,4,full
Fri Mar  4 22:01:30 MST 2022,Swift,295428,parallel,1,4x4x2,openmpi,openmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:01:51,4,sqrt,full
Fri Mar  4 22:09:51 MST 2022,Swift,295429,parallel,1,10x10x5,openmpi,openmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,13,0:08:09,4,sqrt,full
Fri Mar  4 23:27:01 MST 2022,Swift,295500,parallel,1,4x4x2,openmpi,openmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:01:08,9,sqrt,full
Fri Mar  4 23:31:05 MST 2022,Swift,295501,parallel,1,10x10x5,openmpi,openmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:03:41,9,sqrt,full
Sun Dec 12 05:58:40 MST 2021,swift,68488,test,1,4x4x2,openmpi,openmpi,cores,4,252,"c1-[34,38,47,62]",-6.03E+01,15,0:01:30,9,4,full
Thu Mar  3 11:04:16 MST 2022,Swift,295212,parallel,1,4x4x2,openmpi,openmpi,cores,4,252,c1-[64-67],-6.03E+01,14,0:01:57,4,D,full
Thu Mar  3 11:12:38 MST 2022,Swift,295213,parallel,1,10x10x5,openmpi,openmpi,cores,4,252,c1-[64-67],-6.03E+01,13,0:08:14,4,D,full
Thu Mar  3 13:02:06 MST 2022,Swift,295284,parallel,1,4x4x2,openmpi,openmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,14,0:01:55,4,4,full
Thu Mar  3 13:10:26 MST 2022,Swift,295285,parallel,1,10x10x5,openmpi,openmpi,cores,4,252,"c1-[71-73,75]",-6.03E+01,13,0:08:13,4,4,full
