Date,HPC System,Job ID,Partition,Benchmark Code,kpoints,math library,MPI,cpu-bind,Nodes,Cores,Nodelist,Energy,Electronic Steps,Runtime,KPAR,NPAR,node_fill
Thu Jun 30 16:25:35 MDT 2022,Swift,635515,parallel,2, 1x1x1, mkl,intel_impi,cores,4,256," c1-[32-34,36]",-1.27E+03,49,0:56:47,1,D,full
2022-06-10T16:35:03,Swift,613797,parallel,2,1x1x1,mkl,intel_impi,cores,8,1024,"['c13-[7', '9-11', '14', '17', '21', '23]']",-1.27E+03,35,1:30:34,1,1,virtual
Fri Jan 21 01:29:49 MST 2022,Eagle,8183122,short,1,10x10x5,mkl,intelmpi,cores,16,576,"r5i0n9,r5i1n[3-5,21,24,26,31,33],r5i2n[4,6,9,11,15-17]",-6.03E+01,13,0:27:21,9,sqrt,full
Fri Jan 21 01:50:17 MST 2022,Eagle,8183123,short,1,4x4x2,mkl,intelmpi,cores,16,576,"r5i0n5,r5i1n[6,15,28,30],r5i2n[1-2,7-8,13,21-25,27]",-6.03E+01,14,0:00:41,9,sqrt,full
Thu Dec  2 21:45:36 MST 2021,Eagle,7952615,short,2,1x1x1,mkl,intelmpi,cores,16,576,"r2i3n[33-34],r2i4n[1,3,21,24,26-27],r2i5n[0,2,4-5,10,13-15]",-1.27E+03,36,0:25:49,1,D,full
Thu Jan 20 00:39:57 MST 2022,Eagle,8182940,short,1,4x4x2,mkl,intelmpi,cores,16,576,"r1i0n[1-3,31-32,34-35],r1i1n[0-3,8],r1i3n[9-12]",-6.03E+01,14,0:00:38,4,sqrt,full
Thu Jan 20 22:33:20 MST 2022,Eagle,8183027,short,1,4x4x2,mkl,intelmpi,cores,16,576,"r5i0n9,r5i1n[3,5,21],r5i2n[11,15-17,21,23-25,27,31-33]",-6.03E+01,15,0:00:42,4,4,full
Wed Dec  1 15:03:34 MST 2021,Eagle,7952618,short,1,10x10x5,mkl,intelmpi,cores,16,576,"r9i0n32,r9i1n4,r9i2n[22,25,28,30],r9i3n[14,29,32],r9i6n[22,32-34],r9i7n[1,4,10]",-6.03E+01,15,0:01:45,9,4,full
Wed Dec  1 15:20:17 MST 2021,Eagle,7952619,short,1,4x4x2,mkl,intelmpi,cores,16,576,"r4i0n[0,21,23,25],r4i1n[17,20,32],r4i2n[1,9,18,20-21,23,26,29,31]",-6.03E+01,15,0:06:11,9,4,full
Wed Jan 19 10:04:51 MST 2022,Eagle,8181672,short,1,4x4x2,mkl,intelmpi,cores,16,576,"r1i6n[10,16,19-23,33-35],r1i7n[0-4,10]",-6.03E+01,15,0:02:12,1,4,full
