% Model,fuel_cell.mph
% Version,COMSOL 6.1.0.346
% Date,"Feb 21 2024, 13:59"
% Table,Probe Table 1 - 
% E_cell (V),"-fc.nIs (A/cm^2), Boundary Probe 1"
1,0.009678688231403857
0.99,0.014461721336696058
0.98,0.016761745348087467
0.97,0.01938385205018663
0.96,0.022361129977073683
0.95,0.025727261338465247
0.94,0.029515981575143003
0.9299999999999999,0.033760516601280016
0.92,0.03849303451538131
0.91,0.043744148997260666
0.9,0.049542507482930716
0.89,0.05591448820705879
0.88,0.06288401866896896
0.87,0.07047251525525529
0.86,0.07869893217027749
0.85,0.08757989921870278
0.84,0.0971299229784097
0.83,0.10736162449574857
0.8200000000000001,0.11828598891890918
0.81,0.1299126063559322
0.8,0.1422498884577328
0.79,0.15530525111191348
0.78,0.16908525807344327
0.77,0.18359572497387733
0.76,0.1988417859602509
0.75,0.21482792764106837
0.74,0.23155799587180656
0.73,0.24903518184118767
0.72,0.267261993590503
0.71,0.2862402189322603
0.7,0.3059708848057093
0.69,0.326454217521873
0.6799999999999999,0.3476896075783495
0.6699999999999999,0.369675581483266
0.6599999999999999,0.3924097825690748
0.6499999999999999,0.4158889620083559
0.64,0.4401089804233643
0.63,0.46506481997283994
0.62,0.49075060659016984
0.61,0.5171596414164003
0.6,0.5442844403195666
0.59,0.572116780308546
0.5800000000000001,0.6006477516120258
0.5700000000000001,0.6298678137855508
0.56,0.659766854951252
0.55,0.6903342525917495
0.54,0.7215589349869507
0.53,0.7534294422173603
0.52,0.7859339859529526
0.51,0.8190605072036106
0.5,0.8527967315719481
